,date,neg,neu,pos,compound
0,2018-08-06,0.0,1.0,0.0,0.0
1,2019-10-05,0.0,1.0,0.0,0.0
2,2019-11-07,0.217,0.652,0.13,-0.296
3,2020-07-09,0.0,1.0,0.0,0.0
4,2020-11-04,0.0,1.0,0.0,0.0
5,2021-02-10,0.0,0.532,0.468,0.5267
6,2021-02-12,0.0,0.633,0.367,0.4404
7,2021-03-08,0.0,0.733,0.267,0.4588
8,2021-05-13,0.165,0.691,0.144,-0.1027
9,2021-08-17,0.0,1.0,0.0,0.0
10,2021-11-11,0.314,0.686,0.0,-0.4939
11,2021-11-22,0.0,1.0,0.0,0.0
12,2021-12-20,0.0,0.734,0.266,0.4404
13,2022-01-14,0.0,1.0,0.0,0.0
14,2022-02-07,0.307,0.533,0.16,-0.4939
15,2022-02-08,0.0,1.0,0.0,0.0
16,2022-04-20,0.0,1.0,0.0,0.0
17,2022-07-27,0.322,0.678,0.0,-0.5859
18,2022-08-10,0.0,0.833,0.167,0.34
19,2022-09-04,0.0,0.698,0.302,0.6369
20,2022-09-30,0.0,1.0,0.0,0.0
21,2022-10-13,0.297,0.703,0.0,-0.5859
22,2022-10-17,0.1795,0.5660000000000001,0.2545,0.17535
23,2022-10-20,0.0,1.0,0.0,0.0
24,2022-10-26,0.34,0.44,0.22,-0.4404
25,2022-10-31,0.209,0.791,0.0,-0.4404
26,2022-11-01,0.318,0.682,0.0,-0.4939
27,2022-11-02,0.0,0.824,0.176,0.128
28,2022-11-04,0.239,0.597,0.164,-0.25
29,2022-11-08,0.176,0.532,0.293,0.4939
30,2022-11-15,0.0,1.0,0.0,0.0
31,2022-11-21,0.0,1.0,0.0,0.0
32,2022-12-10,0.23,0.606,0.164,-0.0258
33,2022-12-20,0.0,0.867,0.133,0.25
34,2022-12-21,0.0,1.0,0.0,0.0
35,2022-12-30,0.0,1.0,0.0,0.0
36,2023-01-04,0.459,0.541,0.0,-0.6249
37,2023-01-11,0.0,0.909,0.091,0.0772
38,2023-01-13,0.0,1.0,0.0,0.0
39,2023-01-17,0.224,0.776,0.0,-0.3818
40,2023-01-20,0.0,1.0,0.0,0.0
41,2023-01-25,0.244,0.756,0.0,-0.4404
42,2023-02-01,0.0,1.0,0.0,0.0
43,2023-02-05,0.0,1.0,0.0,0.0
44,2023-02-06,0.0,1.0,0.0,0.0
45,2023-02-08,0.17800000000000002,0.7713333333333333,0.050666666666666665,-0.32056666666666667
46,2023-02-10,0.182,0.818,0.0,-0.4404
47,2023-02-14,0.0,1.0,0.0,0.0
48,2023-02-17,0.1045,0.747,0.1485,0.07274999999999998
49,2023-02-23,0.148,0.617,0.235,0.34
50,2023-03-01,0.0,0.775,0.225,0.4404
51,2023-03-03,0.0,0.919,0.081,0.2377
52,2023-03-09,0.0,0.69,0.31,0.3818
53,2023-03-13,0.0,0.756,0.244,0.4404
54,2023-03-15,0.0,0.867,0.133,0.25
55,2023-03-27,0.169,0.756,0.076,-0.1531
56,2023-03-29,0.18,0.82,0.0,-0.296
57,2023-04-06,0.118,0.882,0.0,-0.1531
58,2023-04-13,0.0,1.0,0.0,0.0
59,2023-04-18,0.0835,0.9165,0.0,-0.17
60,2023-04-20,0.0,1.0,0.0,0.0
61,2023-04-21,0.0,0.704,0.296,0.6369
62,2023-04-26,0.128,0.872,0.0,-0.2263
63,2023-05-01,0.0,0.769,0.231,0.34
64,2023-05-04,0.0,1.0,0.0,0.0
65,2023-05-05,0.12933333333333333,0.8109999999999999,0.059666666666666666,-0.11693333333333332
66,2023-05-08,0.0,0.643,0.357,0.6124
67,2023-05-09,0.206,0.794,0.0,-0.3818
68,2023-05-10,0.104,0.896,0.0,-0.1366
69,2023-05-11,0.0,1.0,0.0,0.0
70,2023-05-13,0.0,0.78,0.22,0.4767
71,2023-05-16,0.0,0.833,0.167,0.296
72,2023-05-18,0.2265,0.7735,0.0,-0.45625000000000004
73,2023-05-19,0.179,0.821,0.0,-0.34
74,2023-05-22,0.0,0.829,0.171,0.4767
75,2023-05-24,0.0,0.893,0.107,0.0516
76,2023-05-26,0.086,0.9139999999999999,0.0,-0.1806
77,2023-06-01,0.0,1.0,0.0,0.0
78,2023-06-05,0.1875,0.8125,0.0,-0.3592
79,2023-06-07,0.0,0.659,0.341,0.6908
80,2023-06-08,0.169,0.642,0.188,0.0772
81,2023-06-14,0.0,1.0,0.0,0.0
82,2023-06-20,0.0,1.0,0.0,0.0
83,2023-06-27,0.0,0.789,0.211,0.4466
84,2023-06-29,0.0945,0.7205,0.185,0.19785
85,2023-07-13,0.083625,0.7780833333333333,0.138375,0.07708333333333334
86,2023-07-14,0.11211111111111112,0.8066666666666668,0.08125925925925925,-0.022281481481481496
87,2023-07-15,0.04542857142857143,0.8667142857142858,0.08785714285714286,0.0853142857142857
88,2023-07-16,0.039,0.875,0.086,0.08182857142857143
89,2023-07-17,0.1755,0.804625,0.019875,-0.2301125
90,2023-07-18,0.1125,0.8079999999999999,0.0795,-0.08249285714285715
91,2023-07-19,0.10523076923076924,0.7122307692307692,0.18246153846153845,0.08295384615384616
